"HW1","HW2","HW3","HW4","HW5","HW6","HW7","HW8","HW9","ATT","QZ1","QZ2","QZ3","QZ4","EX1","EX2","QZ5","Test1","Test2","Homework","Quiz","Lab","Overall","Grade"
91.5,97,87.5,80,90,82,90,90,98,12,58.3333333333333,72.2222222222222,55,15,51.2,39.15,75,64,43.5,90.75,61.8518518518518,100,70.1777777777778,"C"
80,95,90,80,97.5,94,73,90,85,12,58.3333333333333,66.6666666666667,57.5,20,64.8,64.35,100,81,71.5,88.9375,60.8333333333333,100,79.88125,"B-"
92.5,95,100,100,95,98,70,100,100,12,91.6666666666667,61.1111111111111,60,18,66.4,73.35,90,83,81.5,97.5625,70.9259259259259,100,86.8826388888889,"B+"
92.5,100,100,90,100,93,89,80,60,12,83.3333333333333,77.7777777777778,55,16,65.6,63.9,80,82,71,93.0625,72.0370370370371,100,82.8743055555556,"B"
80,77.5,70,65,100,97,100,75,85,12,58.3333333333333,55.5555555555556,25,8,56.8,34.2,40,71,38,85.5625,46.2962962962963,100,66.3131944444444,"C-"
80,0,92.5,90,90,79,0,70,51.5,12,91.6666666666667,88.8888888888889,0,20,75.2,68.85,100,94,76.5,69.125,66.8518518518518,100,78.6902777777778,"C+"
0,10,47.5,0,90,0,56,40,75,7,54.1666666666667,27.7777777777778,30,16,43.2,31.5,80,54,35,39.8125,37.3148148148148,20,39.0909722222222,"F"
85,85,92.5,60,95,98,100,80,100,12,91.6666666666667,50,75,19,47.2,57.6,95,59,64,91.9375,72.2222222222222,100,76.2145833333333,"C"
70,89,70,80,85,96,0,90,0,11,75,44.4444444444444,65,0,64,54.9,0,80,61,72.5,61.4814814814815,100,72.2222222222222,"C"
85,97.5,100,85,75,97,97,95,85,12,25,44.4444444444444,35,13,48.8,36.45,65,61,40.5,92.6875,34.8148148148148,100,65.3534722222222,"C-"
94.5,100,85,100,100,98,90,100,96,12,75,61.1111111111111,80,16,78.4,72,80,98,80,97.3125,72.037037037037,100,89.5993055555556,"A-"
62.5,65,32.5,27.5,0,79,79,75,94,12,91.6666666666667,33.3333333333333,25,11,44,54.9,55,55,61,64.3125,50,100,63.04375,"C-"
85,70,85,95,100,88,88,100,85,12,75,100,90,20,47.2,65.7,100,59,73,90.75,88.3333333333333,100,80.525,"B-"
92.5,100,100,100,100,100,100,95,100,12,91.6666666666667,88.8888888888889,80,16,59.2,71.1,80,74,79,99.375,86.8518518518518,100,87.3902777777778,"B+"
92.5,100,100,100,95,90,100,95,85,12,100,88.8888888888889,80,16,76,74.25,80,95,82.5,96.5625,89.6296296296296,100,92.0381944444444,"A"
80,75,90,90,100,93,98,90,85,12,91.6666666666667,88.8888888888889,75,20,69.6,76.5,100,87,85,90.75,85.1851851851852,100,88.6527777777778,"A-"
92.5,82.5,87.5,90,100,82,82,0,85,9,50,44.4444444444444,0,5,45.6,52.2,25,57,58,87.6875,33.1481481481481,60,63.1784722222222,"C-"
76,80,100,95,90,93,89,87.5,80,12,100,66.6666666666667,70,17,55.2,66.6,85,69,74,89.3125,78.8888888888889,100,80.9270833333333,"B-"
82.5,85,92.5,95,90,100,100,100,80,12,66.6666666666667,55.5555555555556,85,0,62.4,47.25,0,78,52.5,93.125,69.0740740740741,100,77.0236111111111,"C"
77.5,62.5,97.5,80,0,83,100,75,70,11,66.6666666666667,44.4444444444444,70,16,67.2,69.3,80,84,77,80.6875,60.3703703703704,100,79.3118055555556,"C+"
77.5,100,100,100,100,99,92,100,98,12,91.6666666666667,100,90,20,76,85.5,100,95,95,98.625,93.8888888888889,100,96.4208333333333,"A+"
87.5,85,92.5,80,100,99,0,100,75,12,100,100,60,20,75.2,70.2,100,94,78,89.875,86.6666666666667,100,88.2625,"A-"
67.5,95,82.5,95,60,79,89,100,85,12,83.3333333333333,83.3333333333333,67.5,19,76.8,81.9,95,96,91,86.625,78.0555555555556,100,89.6458333333333,"A-"
30,0,0,100,85,91,77,85,85,12,25,55.5555555555556,25,6,38.4,38.7,30,48,43,69.125,35.1851851851852,100,56.3652777777778,"D"
92.5,100,100,0,100,100,0,100,100,12,91.6666666666667,100,100,20,64,78.3,100,80,87,86.5625,97.2222222222222,100,88.3020833333333,"A-"
82.5,0,95,100,95,99,100,100,100,9,75,72.2222222222222,80,19,70.4,75.6,95,88,84,96.4375,75.7407407407407,60,84.8923611111111,"B"
77.5,97.5,100,70,0,96,100,80,75,12,66.6666666666667,11.1111111111111,45,15,48.8,49.5,75,61,55,87,42.2222222222222,100,68.3833333333333,"C-"
80,75,0,67.5,77.5,87,100,82.5,90,11,83.3333333333333,83.3333333333333,90,18,57.6,72.9,90,72,81,82.4375,85.5555555555556,100,82.2145833333333,"B"
0,85,80,75,100,78,0,90,0,12,91.6666666666667,38.8888888888889,75,0,58.4,37.35,0,73,41.5,63.5,68.5185185185185,100,64.3027777777778,"C-"
87.5,85,92.5,85,95,91,92,90,90,12,91.6666666666667,50,0,17,64,65.7,85,80,73,90.375,52.8888888888889,100,79.2958333333333,"C+"
73.5,0,92.5,90,80,0,100,100,75,12,83.3333333333333,72.2222222222222,65,19,70.4,65.7,95,88,73,76.375,73.5185185185185,100,79.7902777777778,"B-"
79,95,92.5,65,72.5,91,100,0,76,11,33.3333333333333,77.7777777777778,95,19,59.2,75.6,95,74,84,83.875,68.7037037037037,100,81.2680555555555,"B-"
0,0,0,42.5,0,0,0,0,0,10,58.3333333333333,0,0,0,42.4,35.55,0,53,39.5,5.3125,19.4444444444444,80,32.9854166666667,"F"
100,97.5,100,90,100,99,100,100,100,12,100,77.7777777777778,90,19,69.6,84.6,95,87,94,99.5625,89.2592592592593,100,94.1576388888889,"A"
92.5,95,100,0,100,93,90,85,100,12,83.3333333333333,100,70,16,65.6,80.55,80,82,89.5,94.4375,84.4444444444444,100,89.7729166666667,"A-"
96,97.5,100,0,100,89,97,100,99,12,100,66.6666666666667,80,19,73.6,78.3,95,92,87,97.3125,82.2222222222222,100,91.6770833333333,"A"
45,77.5,67.5,70,90,71,89,90,85,12,33.3333333333333,72.2222222222222,47.5,14,57.6,63.9,70,72,71,80,51.0185185185185,100,73.8027777777778,"C"
0,85,85,67.5,90,88,96,75,95,12,58.3333333333333,66.6666666666667,50,0,48.8,40.95,0,61,45.5,85.1875,58.3333333333333,100,67.88125,"C-"
85,92.5,100,100,95,90,100,97.5,100,12,100,77.7777777777778,75,12,62.4,61.2,60,78,68,96.875,84.2592592592593,100,84.3013888888889,"B"
82.5,70,100,65,97,71,78,85,85,11,75,38.8888888888889,55,16,70.4,55.8,80,88,62,83.5625,56.2962962962963,100,76.6131944444444,"C"
92.5,92.5,100,80,95,97,97,95,80,12,83.3333333333333,55.5555555555556,75,18,57.6,54.9,90,72,61,93.625,71.2962962962963,100,78.4319444444444,"C+"
55,85,100,100,60,100,80,90,90,12,91.6666666666667,77.7777777777778,85,20,71.2,76.5,100,89,85,88.125,84.8148148148148,100,88.2097222222222,"A-"
92.5,77.5,92.5,100,100,96,89,97.5,99,12,83.3333333333333,72.2222222222222,80,20,58.4,71.55,100,73,79.5,95.8125,78.5185185185185,100,84.9965277777778,"B"
62.5,97.5,82.5,67.5,90,98,100,80,100,12,75,72.2222222222222,57.5,15,55.2,50.4,75,69,56,89.4375,68.2407407407407,100,74.8673611111111,"C"
100,100,92.5,100,100,0,94,85,0,10,41.6666666666667,83.3333333333333,70,0,71.2,75.6,0,89,84,83.9375,65,80,81.73125,"B-"
87.5,92.5,100,90,87,96,94,95,70,12,95.8333333333333,83.3333333333333,70,3,64.8,42.3,15,81,47,92.75,83.0555555555556,100,78.2333333333333,"C+"
92.5,100,100,100,100,99,100,100,97,12,100,100,100,20,64.8,88.2,100,81,98,99.5,100,100,95.55,"A+"
95,96,100,100,100,97,30,95,98,12,91.6666666666667,44.4444444444444,80,19,44,63.9,95,55,71,97.625,72.037037037037,100,78.8430555555556,"C+"
77.5,95,97.5,80,100,94,99,100,85,12,83.3333333333333,88.8888888888889,60,20,60.8,72.9,100,76,81,93.8125,77.4074074074074,100,85.2048611111111,"B"
88.5,97,100,90,100,99,97,100,85,12,66.6666666666667,88.8888888888889,95,13,57.6,72.9,65,72,81,96.4375,83.5185185185185,100,86.1090277777778,"B+"
72.5,62.5,100,99,100,0,0,100,99,10,91.6666666666667,83.3333333333333,0,17,62.4,78.75,85,78,87.5,79.125,64,80,78.8125,"C+"
87,100,92.5,80,100,89,50,80,98,12,83.3333333333333,0,60,17,66.4,82.8,85,83,92,90.8125,53.4444444444444,100,84.8604166666667,"B"
75,100,100,90,100,95,97,95,85,12,91.6666666666667,66.6666666666667,65,19,62.4,60.3,95,78,67,95.25,74.4444444444444,100,82.0916666666667,"B"
92.5,85,85,0,95,99,81,90,75,12,91.6666666666667,94.4444444444444,45,18,52.8,75.15,90,66,83.5,87.8125,77.037037037037,100,81.9743055555556,"B-"
84,100,87.5,70,100,97,100,90,100,12,83.3333333333333,61.1111111111111,95,16,42.4,55.35,80,53,61.5,94.8125,79.8148148148148,100,76.3909722222222,"C"
